Grid_ID,经纬度,City,POP_PE,POP_FL,EMP
944039,"113.734319,22.80004",东莞,5399,1298,1613
945654,"113.734319,22.804539",东莞,3988,1259,2389
931120,"113.739207,22.764042",东莞,0,0,0
931121,"113.744095,22.764042",东莞,6221,3802,3531
932735,"113.739207,22.768542",东莞,0,0,0
934350,"113.739207,22.773042",东莞,832,216,901
932736,"113.744095,22.768542",东莞,2739,1671,1605
934351,"113.744095,22.773042",东莞,335,161,106
929507,"113.748984,22.759543",东莞,13,7,6
931122,"113.748984,22.764042",东莞,3066,3761,1437
929508,"113.753872,22.759543",东莞,0,0,0
931123,"113.753872,22.764042",东莞,0,0,0
932737,"113.748984,22.768542",东莞,3109,1536,2307
934352,"113.748984,22.773042",东莞,5658,3033,4087
932738,"113.753872,22.768542",东莞,225,237,204
934353,"113.753872,22.773042",东莞,0,0,0
927894,"113.75876,22.755043",东莞,0,0,0
923051,"113.768537,22.741544",深圳,0,0,0
927895,"113.763648,22.755043",东莞,4608,8401,2776
926281,"113.768537,22.750544",东莞,0,0,0
927896,"113.768537,22.755043",东莞,3391,5714,1265
929509,"113.75876,22.759543",东莞,0,0,0
931124,"113.75876,22.764042",东莞,1993,1274,1061
932739,"113.75876,22.768542",东莞,0,0,0
934354,"113.75876,22.773042",东莞,1871,1448,1516
929510,"113.763648,22.759543",东莞,0,0,0
931125,"113.763648,22.764042",东莞,601,217,689
929511,"113.768537,22.759543",东莞,3679,1417,1404
931126,"113.768537,22.764042",东莞,5465,2814,2594
932740,"113.763648,22.768542",东莞,0,0,0
934355,"113.763648,22.773042",东莞,3087,1449,1809
932741,"113.768537,22.768542",东莞,12509,6162,6211
934356,"113.768537,22.773042",东莞,4998,2888,1819
935965,"113.739207,22.777541",东莞,8002,2499,5436
935966,"113.744095,22.777541",东莞,13197,4632,7129
937580,"113.739207,22.782041",东莞,1773,604,1499
939195,"113.739207,22.786541",东莞,1025,273,2048
937581,"113.744095,22.782041",东莞,7575,3265,3626
939196,"113.744095,22.786541",东莞,1794,909,1260
935967,"113.748984,22.777541",东莞,6665,2080,4387
935968,"113.753872,22.777541",东莞,5665,2590,3363
937582,"113.748984,22.782041",东莞,7455,2808,4550
939197,"113.748984,22.786541",东莞,12899,4025,5838
937583,"113.753872,22.782041",东莞,9261,4087,4620
939198,"113.753872,22.786541",东莞,0,0,0
940810,"113.739207,22.79104",东莞,1751,590,1608
942425,"113.739207,22.79554",东莞,15495,4792,4545
940811,"113.744095,22.79104",东莞,4143,1069,2654
942426,"113.744095,22.79554",东莞,4890,2429,2837
944040,"113.739207,22.80004",东莞,4618,1441,931
945655,"113.739207,22.804539",东莞,2922,1051,1767
944041,"113.744095,22.80004",东莞,4827,2015,4689
945656,"113.744095,22.804539",东莞,1557,640,1878
940812,"113.748984,22.79104",东莞,4511,1073,2038
942427,"113.748984,22.79554",东莞,6932,2258,2719
940813,"113.753872,22.79104",东莞,1370,367,594
942428,"113.753872,22.79554",东莞,6499,2469,3264
944042,"113.748984,22.80004",东莞,1918,920,1547
945657,"113.748984,22.804539",东莞,0,0,0
944043,"113.753872,22.80004",东莞,1792,453,2174
945658,"113.753872,22.804539",东莞,152,206,260
935969,"113.75876,22.777541",东莞,13267,4587,3175
937584,"113.75876,22.782041",东莞,6633,4063,3314
939199,"113.75876,22.786541",东莞,0,0,0
935970,"113.763648,22.777541",东莞,7782,3132,4502
